business,category,niche(s),score,tier,tier_label,score_web_opportunity,score_budget,score_niche_fit,score_reachability,score_reputation,score_operational,has_website,website,phone,rating,review_count,primary_type,maps_url,address,status
Home2U / Хоум Ту Ю офис Владислав 81,Real Estate,real_estate,81,A,Hot,45,100,100,100,88,100,yes,http://www.home2u.bg/,087 536 3333,4.7,320,real_estate_agency,https://maps.google.com/?cid=9154047905698384603&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Владислав Варненчик“ 81, 9000 Варна",OPERATIONAL
Адрес Недвижими имоти Варна- Кантора Цар Освободител,Real Estate,real_estate,81,A,Hot,45,100,100,100,88,100,yes,https://www.facebook.com/realestatevarna/?locale=bg_BG,088 322 4929,4.7,269,real_estate_agency,https://maps.google.com/?cid=2261622599620149508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Княгиня Мария Луиза“ 17, 9000 Варна",OPERATIONAL
Ла Пала,Hospitality,restaurant,81,A,Hot,45,99,100,100,84,100,yes,https://www.lapala.bg/,087 766 5558,4.6,255,italian_restaurant,https://maps.google.com/?cid=2654024378481237994&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Гръцки кварталОдесос, Гръцки кварталОдесос, ул. „Преслав“ 36, 9000 Варна",OPERATIONAL
Фуджи суши,Hospitality,restaurant,81,A,Hot,45,99,100,100,92,100,yes,http://sushibarfuji.bg/,089 029 1360,4.8,249,meal_takeaway,https://maps.google.com/?cid=9865282305992901651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, бул. „8-ми Приморски полк“ 118, 9002 Варна",OPERATIONAL
Спешен дентален център Фармадент,Health,dental,81,A,Hot,45,99,100,100,88,100,yes,https://farmadent.bg/,087 961 0006,4.7,247,dentist,https://maps.google.com/?cid=409112560742011625&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Генерал Колев“ 8, 9000 Варна",OPERATIONAL
All Stars Kitchen,Hospitality,restaurant,81,A,Hot,45,99,100,100,92,100,yes,https://www.facebook.com/profile.php?id=100088221297976,087 777 1478,4.8,241,meal_takeaway,https://maps.google.com/?cid=6649406590374309036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. Кайсиева градинаВладислав Варненчик, ж.к. Владислав Варненчик 259, 9023 Варна",OPERATIONAL
Ресторант МЕНЮ,Hospitality,restaurant,81,A,Hot,45,98,100,100,92,100,yes,https://www.facebook.com/zavedeniemenu/,087 793 7729,4.8,235,restaurant,https://maps.google.com/?cid=18000105427676692161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Северна промишлена зонаМладост, бул. „Христо Смирненски“ 25, 9000 Варна",OPERATIONAL
Купи в България,Real Estate,real_estate,81,A,Hot,45,98,100,100,88,100,yes,https://kupiv.bg/,052 630 830,4.7,226,real_estate_agency,https://maps.google.com/?cid=1345111903491008864&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Северна промишлена зонаМладост, ул. „Академик Андрей Сахаров“ 19, 9009 Варна",OPERATIONAL
VIP Дюнери и Бургери,Hospitality,restaurant,81,A,Hot,45,98,100,100,88,100,yes,https://www.facebook.com/share/195YU6MQdL/,087 638 3335,4.7,224,fast_food_restaurant,https://maps.google.com/?cid=14396875759373606670&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВладиславовоМладост, ВладиславовоМладост, ул. ""Хан Севар"" 20, 9000 Варна",OPERATIONAL
Нида,Hospitality,restaurant,81,A,Hot,45,96,100,100,92,100,yes,https://www.facebook.com/bistro.nida.bar,052 995 164,4.8,198,restaurant,https://maps.google.com/?cid=9926885143802480491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, ул. „Генерал Столипин“ 17, 9002 Варна",OPERATIONAL
Сити Бутик Ин,Hospitality,lodging,81,A,Hot,45,96,100,100,96,100,yes,https://www.cityboutiqueinn.com/,088 802 2626,4.9,198,hotel,https://maps.google.com/?cid=2900365847051931781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"р-н Одесос, Варна ЦентърОдесос, ул. „Хан Омуртаг“ 4, 9000 Варна",OPERATIONAL
social bar,Hospitality,restaurant,81,A,Hot,45,95,100,100,100,100,yes,https://socialbar.bg/,088 603 3330,5,193,bar,https://maps.google.com/?cid=3182135008407868269&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"VinitsaPrimorski, ВиницаПриморски, ул. „Цар Борис III-ти“ 33, 9022 Варна",OPERATIONAL
Имотека - офис Варна,Real Estate,real_estate,81,A,Hot,45,95,100,100,92,100,yes,https://www.imoteka.bg/,088 749 4946,4.8,191,real_estate_agency,https://maps.google.com/?cid=17633566094431006027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Княгиня Мария Луиза“ 8, 9000 Варна",OPERATIONAL
Бар Папагала,Hospitality,restaurant,80,A,Hot,100,73,100,20,52,100,no,,,3.8,39,cafe,https://maps.google.com/?cid=3922403008004634510&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Аспарухово, ул. „Свети Свети Кирил и Методий“ 33, 9003 Варна",OPERATIONAL
Барба Яни,Hospitality,lodging,80,A,Hot,100,70,100,20,66,100,no,,,4.4,31,hotel,https://maps.google.com/?cid=7955214053684432406&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"109, VARNA PETAR POPOV, Манастирски РидПриморски, 9007 Варна",OPERATIONAL
ЛаПанчо,Hospitality,restaurant,80,A,Hot,100,68,100,20,71,100,no,,,4.7,27,bistro,https://maps.google.com/?cid=4165072293350828197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. Владислав ВарненчикВладислав Варненчик, 9023 Варна",OPERATIONAL
Детски център & Кафе Magic Dream,Other,restaurant,80,A,Hot,100,57,55,100,62,100,no,,088 880 4303,5,12,association_or_organization,https://maps.google.com/?cid=94868528628634694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. ЧайкаПриморски, ж.к. Чайка 193, 9000 Варна",OPERATIONAL
AL DENIS,Real Estate,real_estate,80,A,Hot,100,30,100,100,51,100,no,,089 490 0969,5,1,real_estate_agency,https://maps.google.com/?cid=15099767842207938824&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Аспарухово, бул. „Народни будители“ 35, 9003 Варна",OPERATIONAL
ERA Prime,Real Estate,real_estate,80,A,Hot,100,30,100,100,51,100,no,,087 700 9008,5,1,real_estate_agency,https://maps.google.com/?cid=12000238734981901423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Владислав Варненчик“ 106, 9000 Варна",OPERATIONAL
Guest house Eli,Hospitality,lodging,80,A,Hot,100,30,100,100,51,100,no,,088 255 5189,5,1,hotel,https://maps.google.com/?cid=13380410778639058910&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Петър Енчев“ 23, 9000 Варна",OPERATIONAL
Komfort Apartment,Hospitality,lodging,80,A,Hot,100,30,100,100,51,100,no,,087 888 7255,5,1,lodging,https://maps.google.com/?cid=14400023205166625765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Михаил Колони“ 11, 9000 Варна",OPERATIONAL
The Loft - The Bay View,Hospitality,lodging,80,A,Hot,100,30,100,100,51,100,no,,087 822 7902,5,1,hotel,https://maps.google.com/?cid=2088719876089242545&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Гръцки кварталОдесос, бул. „Приморски“ 45 б, 9000 Варна",OPERATIONAL
"Д-Р ГОСПОДИНОВА, СВЕТЛА С.",Health,dental,80,A,Hot,100,30,100,100,51,100,no,,052 752 380,5,1,dentist,https://maps.google.com/?cid=4788630958147559271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Западна промишлена зонаМладост, бул. „Владислав Варненчик“ 256, 9009 Варна",OPERATIONAL
Д-Р ДАРИЯ КЕНКОВА,Health,dental,80,A,Hot,100,30,100,100,51,100,no,,089 838 6379,5,1,dentist,https://maps.google.com/?cid=6829211947064746964&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Евлоги Георгиев“ 16, 9010 Варна",OPERATIONAL
Д-р Йолина Борисова,Health,dental,80,A,Hot,100,30,100,100,51,100,no,,089 777 8159,5,1,dentist,https://maps.google.com/?cid=10683707830952852460&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, ул. „Битоля“ 15А, 9002 Варна",OPERATIONAL
Дан Пропърти ООД,Real Estate,real_estate,80,A,Hot,100,30,100,100,49,100,no,,088 825 9920,3,1,real_estate_agency,https://maps.google.com/?cid=14838368209272975952&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Младост, 9009 Варна",OPERATIONAL
"Дентален Център ""Алтея""",Health,dental,80,A,Hot,100,30,100,100,51,100,no,,087 746 0519,5,1,dental_clinic,https://maps.google.com/?cid=16760115612496564769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. ПобедаМладост, ул. „Топола“ 5, 9009 Варна",OPERATIONAL
ДЕНТАЛНА ПРАКТИКА Д-Р СИМЕОНОВ,Health,dental,80,A,Hot,100,30,100,100,51,100,no,,088 560 3717,5,1,dental_clinic,https://maps.google.com/?cid=15849721677918653638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"9000, Варна ЦентърОдесос, ул. „Софроний Врачански“ 8, 9000 Варна",OPERATIONAL
ДН Дентал,Health,dental,80,A,Hot,100,30,100,100,51,100,no,,088 236 1965,5,1,dentist,https://maps.google.com/?cid=4268113725868384850&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Varna Center Odesos, Варна ЦентърОдесос, ул. „Александър Дякович“ 32, 9000 Варна",OPERATIONAL
ОФИС 11 ЕООД — Недвижими имоти / OFFICE 11 LTD — Real Estate,Real Estate,real_estate,80,A,Hot,100,30,100,100,51,100,no,,089 015 8211,5,1,real_estate_agency,https://maps.google.com/?cid=15378513782464225498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Моис Леви“ 28, етаж 4, 9000 Варна",OPERATIONAL
Пиле на грил КИП,Hospitality,restaurant,80,A,Hot,100,30,100,100,50,100,no,,089 260 0133,4,1,restaurant,https://maps.google.com/?cid=5054245024218267178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Аспарухово, 9000 Варна",OPERATIONAL
Пропърти Тим,Real Estate,real_estate,80,A,Hot,100,30,100,100,51,100,no,,087 963 0430,5,1,real_estate_agency,https://maps.google.com/?cid=5646087739789994481&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Христо БотевОдесос, бул. „Владислав Варненчик“ 45, 9000 Варна",OPERATIONAL
Спортен бар ИНБЕТ - Цветен квартал,Hospitality,restaurant,80,A,Hot,100,30,100,100,51,100,no,,087 781 7834,5,1,bar_and_grill,https://maps.google.com/?cid=4925749909465480034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Цветен кварталПриморски, ул. „Роза“ 23Б, 9010 Варна",OPERATIONAL
"Стая за гости ""Стеди""",Hospitality,lodging,80,A,Hot,100,30,100,100,51,100,no,,088 888 2498,5,1,hotel,https://maps.google.com/?cid=787003686003063077&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Цар Освободител“ 11, ет. 1, ап. 8, 9002 Варна",OPERATIONAL
ТЕРА,Real Estate,real_estate,80,A,Hot,100,30,100,100,51,100,no,,088 990 7109,5,1,real_estate_agency,https://maps.google.com/?cid=15880351232747017290&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"кв. ВиницаПриморски, 9022 Варна",OPERATIONAL
Hotel Cherno More,Hospitality,lodging,80,A,Hot,45,100,100,100,72,100,yes,http://www.chernomorebg.com/,088 290 7308,4.3,5381,hotel,https://maps.google.com/?cid=7677142241073442261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Гръцки кварталОдесос, бул. „Сливница“ 33, 9000 Варна",OPERATIONAL
GODZILA Sevastopol,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,https://godzila.bg/,0700 16 010,4.3,5322,restaurant,https://maps.google.com/?cid=2531921169995925875&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Княз Борис I-ви“ 66, 9000 Варна",OPERATIONAL
гостилница Гюрлата - Младост,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,http://www.giurlata.bg/,089 854 6759,4.4,5293,fast_food_restaurant,https://maps.google.com/?cid=16422275532795946913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Западна промишлена зонаМладост, бул. „Република“ 58, 9009 Варна",OPERATIONAL
Фратели Чайка,Hospitality,restaurant,80,A,Hot,45,100,100,100,80,100,yes,https://fratelli.bg/,089 740 5060,4.5,4685,restaurant,https://maps.google.com/?cid=11590611494576087925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. ЧайкаПриморски, ж.к. Чайка 34, 9010 Варна",OPERATIONAL
El Kapan,Hospitality,restaurant,80,A,Hot,45,100,100,100,80,100,yes,https://elkapan.com/,088 377 8977,4.5,4582,restaurant,https://maps.google.com/?cid=11202953747419233720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"кап. ""Георги Георгиев"", Kрайбрежна Алея , Северни Морски Бани, ПриморскиОдесос, 9000 Варна",OPERATIONAL
Алба,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,https://alba-varna.com/,089 940 0439,4.3,3826,restaurant,https://maps.google.com/?cid=16093671452837605665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Гръцки кварталОдесос, ул. „Княз Александър Батенберг“ 6, 9000 Варна",OPERATIONAL
Амичи Възраждане,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,http://www.pizzaamici.com/,052 510 200,4.3,3682,pizza_restaurant,https://maps.google.com/?cid=16568087622795138162&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Ulitsa Tsar Svetoslav Terter 11, ул. Цар Светослав Тертер 11, ВладиславовоМладост, 9000 Варна",OPERATIONAL
Морска тераса,Hospitality,restaurant,80,A,Hot,45,100,100,100,80,100,yes,http://www.theseaterrace.bg/,088 250 5050,4.5,3428,restaurant,https://maps.google.com/?cid=788088295886237624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Централен плаж, Ресторант Морска Тераса, ПриморскиОдесос, 9000 Варна",OPERATIONAL
Мистър Баба,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,https://www.mrbaba.net/,089 650 5050,4.4,3267,restaurant,https://maps.google.com/?cid=12461518126757044141&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Приморски“ 27, 9000 Варна",OPERATIONAL
The Garden Bar Food&Cocktails,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,http://gardenbar-bg.com/,089 878 5888,4.3,3174,bar,https://maps.google.com/?cid=9545955713781283796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Отец Паисий“ 22, 9000 Варна",OPERATIONAL
Капитан Кук,Hospitality,restaurant,80,A,Hot,45,100,100,100,80,100,yes,http://www.captaincook.bg/,088 299 9002,4.5,2948,seafood_restaurant,https://maps.google.com/?cid=12272582101785801050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Morska gara Морска гара, Пристанищен комплексОдесос, 9000 Варна",OPERATIONAL
Рослин Димят Хотел Варна,Hospitality,lodging,80,A,Hot,45,100,100,100,80,100,yes,https://dimyat.rosslyn-hotels.com/,052 910 800,4.5,2457,hotel,https://maps.google.com/?cid=13688344084395460967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, бул. „Княз Борис I-ви“ 111, 9002 Варна",OPERATIONAL
"Ресторант и хотел ""Чайка"" - гр. Бяла",Hospitality,restaurant,80,A,Hot,45,100,100,100,80,100,yes,http://complex-chayka.com/,089 993 2300,4.5,2298,restaurant,https://maps.google.com/?cid=16993168308011728723&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ул. „Ан. Премянов“ 120, 9101 Бяла",OPERATIONAL
"Бирария ""Халбата""",Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,http://halbata.com/,087 769 9976,4.3,2190,restaurant,https://maps.google.com/?cid=102987573752092634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Княгиня Мария Луиза“ 34, 9000 Варна",OPERATIONAL
Дантон,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,https://dantonfishrestaurant.bg/,089 467 3340,4.3,2144,restaurant,https://maps.google.com/?cid=12169927961748450275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Danton, Златни пясъциПриморски, ул. „Боян Бъчваров“ 200 9007, 9007 Варна",OPERATIONAL
Ресторант - пицария Фратели Виница,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,https://fratelli.bg/,087 711 6210,4.4,1921,restaurant,https://maps.google.com/?cid=7302084061874506833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВиницаПриморски, ул. „Цар Борис III-ти“ 3, 9022 Варна",OPERATIONAL
Фратели Сливница,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,https://fratelli.bg/,087 661 5151,4.4,1913,pizza_restaurant,https://maps.google.com/?cid=9454395036786891852&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Константин Величков“ 55, 9000 Варна",OPERATIONAL
Ресторант Марше,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,http://www.horizont.bg/,088 475 4075,4.4,1723,european_restaurant,https://maps.google.com/?cid=1416579183243743184&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Sea Garden , complex Horizont Морска градина, Комплекс Хоризонт, Приморски, 9000 Варна",OPERATIONAL
Пицария Магнолия,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,https://order.bg/pizzaria-magnolia-vladislavovo/menu,089 917 3645,4.3,1546,restaurant,https://maps.google.com/?cid=14439009584596310967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. Владислав ВарненчикВладислав Варненчик, бул. „Света Елена“ 23, 9023 Варна",OPERATIONAL
БМ Сити,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,https://bmrestaurants.com/en/city-restaurant/,088 867 7833,4.4,1478,restaurant,https://maps.google.com/?cid=10137428361742398071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Фестивален и конгресен център, Варна ЦентърОдесос, бул. „Сливница“ 2, 9002 Варна",OPERATIONAL
БМ Градината,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,https://bmrestaurants.com/restorant-gradinata/,088 566 8750,4.3,1456,restaurant,https://maps.google.com/?cid=13149868014459094212&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"м-ст „Салтанат“ № 43, Морска градина, СалтанатПриморски, 9002 Варна",OPERATIONAL
Monkeys restaurant,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,https://restaurantmonkeys.com/,087 744 9544,4.3,1404,restaurant,https://maps.google.com/?cid=4997217076298259668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"кап. ""Георги Георгиев, Северни Морски Бани, ПриморскиОдесос, Крайбрежна алея, 9000 Варна",OPERATIONAL
Хотел-ресторант Бялата къща,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,http://www.white-house-varna.com/,089 473 7017,4.4,1381,restaurant,https://maps.google.com/?cid=5578810808504967593&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"кв. Чайка, ж.к. ЧайкаПриморски, ул. „Рупи“ 108, 9005 Варна",OPERATIONAL
Гостилница Гюрлата,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,http://giurlata.bg/,088 253 8771,4.4,1363,fast_food_restaurant,https://maps.google.com/?cid=15624670526596236248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"кв. Аспарухово, зад Сити Център, Аспарухово, бул. „Народни будители“, 9003 Варна",OPERATIONAL
Dolce Amaro SEAPORT,Hospitality,restaurant,80,A,Hot,45,100,100,100,72,100,yes,https://dolcheamaro.com/%D1%80%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD%D1%82-dolce-amaro-seaport/,087 762 2607,4.3,1359,restaurant,https://maps.google.com/?cid=6878719090081387891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Морска гара, Пристанищен комплексОдесос, 9000 Варна",OPERATIONAL
Хотел Палас,Hospitality,lodging,80,A,Hot,45,100,100,100,80,100,yes,https://palace.sunnydaybg.com/,052 361 971,4.5,1289,hotel,https://maps.google.com/?cid=8726608883058830939&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Hotel Palace Sunny Day Resort, Приморски, 9006 Варна",OPERATIONAL
ЧасовникЪ,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,https://chasovnikavarna.com/,088 832 1589,4.4,1218,restaurant,https://maps.google.com/?cid=928769049922257588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, ул. „Княз Н. Николаевич“ 6А, 9002 Варна",OPERATIONAL
Cheers Whisky and Cocktails,Hospitality,restaurant,80,A,Hot,45,100,100,100,80,100,yes,https://www.facebook.com/cocktailbarcheers/,087 846 3392,4.5,1172,bar,https://maps.google.com/?cid=16142172373745232228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ВладиславовоМладост, бул. „Република“ 117, 9020 Варна",OPERATIONAL
Хотел Панорама,Hospitality,lodging,80,A,Hot,45,100,100,100,76,100,yes,http://www.panoramabg.com/,052 687 300,4.4,1141,hotel,https://maps.google.com/?cid=1175355003194957736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, бул. „Приморски“ 31, 9000 Варна",OPERATIONAL
Моцарела,Hospitality,restaurant,80,A,Hot,45,100,100,100,76,100,yes,https://www.facebook.com/mozzarellagalaxyvarna,087 848 5482,4.4,1086,pizza_restaurant,https://maps.google.com/?cid=17569877589584964329&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. Владислав ВарненчикВладислав Варненчик, ул. „6-ти Септември“ 31, 9023 Варна",OPERATIONAL
100 пици,Hospitality,restaurant,80,A,Hot,45,100,100,100,80,100,yes,http://www.100pizzas.bg/,088 543 3017,4.5,1064,restaurant,https://maps.google.com/?cid=13820624345677634059&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърПриморски, ул. „Професор Марин Дринов“ 66, 9002 Варна",OPERATIONAL
